Week;El_App_WT
4209;214.84677
4210;207.09081
4211;219.27889
4212;227.58643
4213;223.40185
4214;208.20677
4215;195.80491
4216;213.34591
4217;221.46401
4218;238.53924
4219;238.28283
4220;241.43035
4221;247.87187
4222;242.94121
4223;248.14261
4224;258.21447
4225;260.15728
4226;259.92653
4227;261.43871
4228;255.32650
4229;225.60671
4230;212.61692
4231;213.40804
4232;206.17892
4233;187.27965
4234;184.96520
4235;195.41433
4236;190.58249
4237;179.26222
4238;176.94235
4239;174.91054
4240;170.75922
4241;171.94461
4242;166.11586
4243;168.86458
4244;174.07731
4245;189.73765
4246;194.40195
4247;198.94434
4248;191.62995
4249;183.71278
4250;196.91129
4251;212.82864
4252;230.72671
4253;208.31705
4254;234.59097
4255;240.40224
4256;233.29991
4257;232.88823
4258;218.57161
4259;211.50174
4260;193.14107
4261;204.63511
4262;222.77367
4263;222.98700
4264;208.10543
4265;199.30102
4266;196.89540
4267;189.72424
4268;185.22792
4269;181.57750
4270;167.83566
4271;146.95441
4272;147.97120
4273;144.34561
4274;152.91012
4275;164.74706
4276;149.89158
4277;163.40506
4278;161.69685
4279;163.27039
4280;155.74004
4281;135.88856
4282;119.89103
4283;99.73691
4284;72.66377
4285;60.21843
4286;47.18106
4287;39.04343
4288;68.89168
4289;67.73436
4290;74.27286
4291;65.02296
4292;50.28813
4293;46.57899
4294;44.01379
4295;36.33983
4296;49.51663
4297;74.46235
4298;63.51973
4299;55.11249
4300;55.39552
4301;61.47907
4302;60.44983
4303;69.12862
4304;56.79967
4305;55.57765
4306;52.30556
4307;27.53644
4308;20.45153
4309;12.39466
4310;20.39250
4311;16.56637
4312;18.34951
4313;10.96621
4314;23.03014
4315;15.40949
4316;10.50080
4317;13.82246
4318;28.03095
4319;30.00750
4320;18.81959
4321;24.86306
4322;45.22695
4323;58.09914
4324;71.17143
4325;86.54047
4326;88.50378
4327;85.57780
4328;66.16028
4329;78.72624
4330;84.86801
4331;80.87256
4332;71.69456
4333;102.95007
4334;108.71072
4335;110.63035
4336;116.07703
4337;112.99722
4338;104.56169
4339;102.48723
4340;101.18940
4341;88.64848
4342;72.90004
4343;80.63333
4344;93.24183
4345;94.75495
4346;85.70159
4347;77.94895
4348;79.34727
4349;81.94721
4350;88.95256
4351;89.24012
4352;76.40118
4353;62.84647
4354;63.12552
4355;44.46967
4356;37.01105
4357;20.98295
4358;30.98946
4359;48.96004
4360;62.81604
4361;68.34274
4362;78.53072
4363;62.47585
4364;82.96626
4365;98.96240
4366;99.69351
4367;102.43321
4368;108.50017
4369;99.57020
4370;80.84552
4371;82.31137
4372;71.75356
4373;60.70872
4374;83.69013
4375;69.66956
4376;66.07036
4377;72.69736
4378;78.49614
4379;62.41902
4380;60.03138
4381;60.84162
4382;45.67535
4383;47.01383
4384;62.20413
4385;64.80393
4386;71.27559
4387;69.52844
4388;53.35591
4389;60.43960
4390;51.11849
4391;47.09982
4392;47.12741
4393;46.31741
4394;35.73399
4395;32.96399
4396;15.22472
4397;35.82543
4398;66.34899
4399;80.97726
4400;91.91155
4401;104.07331
4402;113.11353
4403;115.62063
4404;108.21454
4405;98.60623
4406;96.92184
4407;80.30941
4408;82.91233
4409;91.78063
4410;98.43262
4411;120.82486
4412;129.88023
4413;146.94732
4414;147.69739
4415;142.79690
4416;145.75827
4417;145.83664
4418;124.82526
4419;126.50288
4420;129.20189
4421;137.13873
4422;136.20116
4423;137.13811
4424;121.59273
4425;125.86673
4426;148.70236
4427;136.14703
4428;105.09825
4429;94.36633
4430;80.65664
4431;109.65073
4432;125.11391
4433;130.45250
4434;118.51368
4435;131.24203
4436;123.49221
4437;122.37617
4438;119.31459
4439;113.36862
4440;92.18314
4441;101.32924
4442;112.07132
4443;114.50408
4444;98.91102
4445;129.02114
4446;107.78737
4447;122.00357
4448;134.98195
4449;129.70065
4450;129.97043
4451;139.49012
4452;161.15689
4453;171.08348
4454;160.08579
4455;168.25360
4456;164.96397
4457;161.02174
4458;150.20635
4459;149.50213
4460;166.14814
4461;164.16978
4462;162.29038
4463;166.22399
4464;164.39813
4465;162.94255
4466;167.25428
4467;149.21243
4468;136.83600
4469;161.42896
4470;155.33810
4471;151.80772
4472;130.55654
4473;110.11060
4474;117.27509
4475;120.77831
4476;109.65259
4477;118.37124
4478;106.03702
4479;89.68885
4480;92.99925
4481;105.23525
4482;94.06948
4483;89.14064
4484;72.09428
4485;59.38543
4486;67.88582
4487;51.78904
4488;61.23516
4489;61.51862
4490;46.69742
4491;34.12546
4492;27.81361
4493;12.26084
4494;9.78922
4495;10.21383
4496;15.21085
4497;22.44483
4498;11.48940
4499;22.97707
4500;44.24777
4501;38.64614
4502;42.81223
4503;47.31780
4504;40.37898
4505;44.11158
4506;49.62582
4507;48.76890
4508;45.05969
4509;59.88159
4510;57.88887
4511;47.39840
4512;70.66039
4513;74.30243
4514;78.59882
4515;69.39579
4516;54.62049
4517;60.27212
4518;56.94692
4519;64.02019
4520;58.19818
4521;63.31638
4522;69.80777
4523;79.66276
4524;98.13692
4525;95.86982
4526;104.64518
4527;111.20115
4528;107.90196
4529;120.81573
4530;131.21116
4531;111.25386
4532;103.25132
4533;104.36152
4534;111.67240
4535;97.18625
4536;104.59770
4537;92.46642
4538;92.11246
4539;88.29609
4540;106.93411
4541;109.66571
4542;101.56256
4543;96.07228
4544;102.80239
4545;101.20482
4546;79.82454
4547;68.90457
4548;89.55504
4549;60.61718
